project,article,granularity,timestamp,access,agent,views
en.wikipedia,Margaret_Jane_Benson,monthly,2020-08-01,all-access,all-agents,109
en.wikipedia,Margaret_Jane_Benson,monthly,2020-09-01,all-access,all-agents,164
en.wikipedia,Margaret_Jane_Benson,monthly,2020-10-01,all-access,all-agents,108
en.wikipedia,Margaret_Jane_Benson,monthly,2020-11-01,all-access,all-agents,104
en.wikipedia,Margaret_Jane_Benson,monthly,2020-12-01,all-access,all-agents,124
en.wikipedia,Margaret_Jane_Benson,monthly,2021-01-01,all-access,all-agents,149
en.wikipedia,Margaret_Jane_Benson,monthly,2021-02-01,all-access,all-agents,107
en.wikipedia,Margaret_Jane_Benson,monthly,2021-03-01,all-access,all-agents,151
en.wikipedia,Margaret_Jane_Benson,monthly,2021-04-01,all-access,all-agents,119
en.wikipedia,Margaret_Jane_Benson,monthly,2021-05-01,all-access,all-agents,186
en.wikipedia,Margaret_Jane_Benson,monthly,2021-06-01,all-access,all-agents,114
en.wikipedia,Margaret_Jane_Benson,monthly,2021-07-01,all-access,all-agents,125
en.wikipedia,Margaret_Jane_Benson,monthly,2021-08-01,all-access,all-agents,128
en.wikipedia,Margaret_Jane_Benson,monthly,2021-09-01,all-access,all-agents,111
en.wikipedia,Margaret_Jane_Benson,monthly,2021-10-01,all-access,all-agents,120
en.wikipedia,Margaret_Jane_Benson,monthly,2021-11-01,all-access,all-agents,115
en.wikipedia,Margaret_Jane_Benson,monthly,2021-12-01,all-access,all-agents,91
en.wikipedia,Margaret_Jane_Benson,monthly,2022-01-01,all-access,all-agents,104
en.wikipedia,Margaret_Jane_Benson,monthly,2022-02-01,all-access,all-agents,97
en.wikipedia,Margaret_Jane_Benson,monthly,2022-03-01,all-access,all-agents,113
en.wikipedia,Margaret_Jane_Benson,monthly,2022-04-01,all-access,all-agents,145
en.wikipedia,Margaret_Jane_Benson,monthly,2022-05-01,all-access,all-agents,103
en.wikipedia,Margaret_Jane_Benson,monthly,2022-06-01,all-access,all-agents,110
en.wikipedia,Margaret_Jane_Benson,monthly,2022-07-01,all-access,all-agents,130
en.wikipedia,Margaret_Jane_Benson,monthly,2022-08-01,all-access,all-agents,149
en.wikipedia,Margaret_Jane_Benson,monthly,2022-09-01,all-access,all-agents,109
en.wikipedia,Margaret_Jane_Benson,monthly,2022-10-01,all-access,all-agents,141
en.wikipedia,Margaret_Jane_Benson,monthly,2022-11-01,all-access,all-agents,102
en.wikipedia,Margaret_Jane_Benson,monthly,2022-12-01,all-access,all-agents,79
en.wikipedia,Marion_Bidder,monthly,2020-01-01,all-access,all-agents,137
